store,longitude,latitude,cbsa_name,dma_name,market_size,store_density,censusregion,censusdivision
3173200,-99.619377,48.857748,,"Minot et al, ND",Small Community (7),Rural,Midwest,West North Central
3173500,-76.82661212252975,42.157023753946206,"Elmira, NY","Elmira et al, NY",Small City (5),Rural,Northeast,Middle Atlantic
3173600,-117.73106592661028,33.62007292425513,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",Very Large Metro (1),Suburban,West,Pacific
317400,-87.21841518204032,30.512512820135697,"Pensacola-Ferry Pass-Brent, FL","Mobile et al, AL-FL",Large City (3),Light Suburban,South,South Atlantic
3174100,-109.27519166948035,34.13242363311198,,"Phoenix et al, AZ",Small Community (7),Rural,West,Mountain
3174900,-96.570005,33.278988,"Dallas-Fort Worth-Arlington, TX","Dallas-Ft. Worth, TX",Very Large Metro (1),Rural,South,West South Central
3175300,-80.44702943035091,40.632440445397265,"Pittsburgh, PA","Pittsburgh, PA",Large Metro (2),Rural,Northeast,Middle Atlantic
3175800,-116.03994713229409,44.5134076795395,,"Boise, ID",Small Community (7),Rural,West,Mountain
317600,-84.53814713497526,33.89485539834485,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",Very Large Metro (1),Light Suburban,South,South Atlantic
3176100,-93.18851699324756,44.960638153217836,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul, MN",Very Large Metro (1),Light Urban,Midwest,West North Central
3176300,-95.686193,29.709956,"Houston-The Woodlands-Sugar Land, TX","Houston, TX",Very Large Metro (1),Exurban,South,West South Central
3176400,-95.355654,29.900919,"Houston-The Woodlands-Sugar Land, TX","Houston, TX",Very Large Metro (1),Light Suburban,South,West South Central
3176600,-95.384376,29.868635,"Houston-The Woodlands-Sugar Land, TX","Houston, TX",Very Large Metro (1),Light Suburban,South,West South Central
3176700,-95.432206,29.827471,"Houston-The Woodlands-Sugar Land, TX","Houston, TX",Very Large Metro (1),Light Suburban,South,West South Central
3176800,-73.92010174859938,40.66147069891603,"New York-Newark-Jersey City, NY-NJ-PA","New York, NY",Very Large Metro (1),Urban,Northeast,Middle Atlantic
3176900,-80.79974279450443,35.176361220386156,"Charlotte-Concord-Gastonia, NC-SC","Charlotte, NC",Very Large Metro (1),Light Suburban,South,South Atlantic
3177600,-118.22068990500021,34.20562870027191,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",Very Large Metro (1),Light Suburban,West,Pacific
317800,-118.30867502485393,33.83191724392242,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",Very Large Metro (1),Suburban,West,Pacific
3178700,-82.59768590177066,27.44841434688932,"North Port-Sarasota-Bradenton, FL","Tampa et al, FL",Large City (3),Light Suburban,South,South Atlantic
3178800,-95.63404414264933,36.28665191494443,"Tulsa, OK","Tulsa, OK",Large Metro (2),Exurban,South,West South Central
3179100,-84.22392189878522,30.391897013536806,"Tallahassee, FL","Tallahassee et al, FL-GA",Medium City (4),Rural,South,South Atlantic
3179600,-112.10967528333316,33.71399823797931,"Phoenix-Mesa-Scottsdale, AZ","Phoenix et al, AZ",Very Large Metro (1),Light Suburban,West,Mountain
318000,-117.99199955389894,33.780871094813854,"Los Angeles-Long Beach-Anaheim, CA","Los Angeles, CA",Very Large Metro (1),Suburban,West,Pacific
3180300,-79.932826,37.313119,"Roanoke, VA","Roanoke-Lynchburg, VA",Medium City (4),Exurban,South,South Atlantic
3180400,-71.14758622790917,42.13924286191817,"Boston-Cambridge-Newton, MA-NH","Boston et al, MA-NH",Very Large Metro (1),Exurban,Northeast,New England
3180600,-95.31101545812919,35.49778083802858,"Muskogee, OK","Tulsa, OK",Small Town (6),Rural,South,West South Central
3180900,-79.26830506412207,36.1058198484203,"Burlington, NC","Greensboro et al, NC",Small City (5),Rural,South,South Atlantic
3181300,-79.58753936431809,40.39922480254711,"Pittsburgh, PA","Pittsburgh, PA",Large Metro (2),Rural,Northeast,Middle Atlantic
3181600,-76.55081005905524,39.33795877792793,"Baltimore-Columbia-Towson, MD","Baltimore, MD",Very Large Metro (1),Light Suburban,South,South Atlantic
318200,-84.13492355269581,41.566860012996266,"Toledo, OH","Toledo, OH",Large City (3),Rural,Midwest,East North Central
3182000,-93.20637609632261,45.10284475896937,"Minneapolis-St. Paul-Bloomington, MN-WI","Minneapolis-St. Paul, MN",Very Large Metro (1),Exurban,Midwest,West North Central
3183100,-94.2005809297912,39.0094411862712,"Kansas City, MO-KS","Kansas City, MO-KS",Large Metro (2),Rural,Midwest,West North Central
3183400,-115.119602271284,36.27572172264554,"Las Vegas-Henderson-Paradise, NV","Las Vegas, NV",Large Metro (2),Light Suburban,West,Mountain
318400,-83.70730038414122,34.00267904234111,"Atlanta-Sandy Springs-Roswell, GA","Atlanta, GA",Very Large Metro (1),Rural,South,South Atlantic
3184000,-94.11923804731748,36.16636122054319,"Fayetteville-Springdale-Rogers, AR-MO","Ft. Smith et al, AR",Large City (3),Exurban,South,West South Central
3184600,-106.5886722371062,39.6486779221385,"Edwards, CO","Denver, CO",Small Town (6),Rural,West,Mountain
3184800,-89.9837390855692,32.272191176848175,"Jackson, MS","Jackson, MS",Large City (3),Rural,South,East South Central
318500,-82.52731043729901,36.53091541185847,"Kingsport-Bristol-Bristol, TN-VA","Tri-Cities, TN-VA",Medium City (4),Exurban,South,East South Central
318600,-86.48573121424548,42.08556939734472,"Niles-Benton Harbor, MI","South Bend-Elkhart, IN",Small City (5),Exurban,Midwest,East North Central
318700,-120.0727155260048,36.97604591501659,"Madera, CA","Fresno-Visalia, CA",Small City (5),Exurban,West,Pacific
3187400,-88.43643135740257,37.80857277646413,,"Paducah et al, KY-MO-IL",Small Community (7),Rural,Midwest,East North Central
318800,-120.83574665455103,37.05651631070145,"Merced, CA","Fresno-Visalia, CA",Medium City (4),Exurban,West,Pacific
3188300,-96.94094919061212,43.62942776560966,"Sioux Falls, SD","Sioux Falls et al, SD",Medium City (4),Rural,Midwest,West North Central
