__store_latitude,__store_longitude,latitude,longitude,store,__batch_group,__store_class,__market_class,__store_bg,__store_class_respop,total_comp_1_mi,total_comp_dma,total_comp_3_mi,total_comp_5_mi,total_comp_adjacent,total_comp_ta,sis_dma,sis_1_mi,sis_3_mi,sis_5_mi,sis_ta,sis_adjacent,__success,__errors,totalhours,buildingsize,decortype,buildingstyletype,franchisee_grade,drivethruindicator,numberofindoorcustomerareaseats
40.75483525840606,-84.08299676400733,40.75483525840606,-84.08299676400733,3699200,3,6,5,390030112002,5,0,84,18,41,0,19,11,0,1,3,1,0,True,0,,,,,,,
32.736352,-101.950475,32.736352,-101.950475,5668800,3,7,6,481159505002,7,9,311,10,10,9,10,18,0,0,0,0,0,True,0,,,,,,,
25.961383,-97.539149,25.961383,-97.539149,4506900,3,6,4,480610125042,4,1,724,42,79,1,25,89,0,2,9,0,0,True,0,,,,,,,
35.907479727322766,-79.02543766349349,35.907479727322766,-79.02543766349349,276300,3,5,3,371350122011,5,0,1545,20,50,0,18,179,0,1,6,0,0,True,0,,,,,,,
39.926925068751466,-82.8292367923381,39.926925068751466,-82.8292367923381,486900,3,6,2,390490093741,4,6,1319,60,135,4,68,160,1,5,11,5,0,True,0,,,,,,,
39.64342907399628,-84.28841721021846,39.64342907399628,-84.28841721021846,4943400,3,6,3,391130504023,5,1,638,12,55,0,10,89,0,1,6,0,0,True,0,,,,,,,
36.752092,-76.270209,36.752092,-76.270209,3044700,3,5,2,515500209063,4,0,998,57,101,0,43,115,0,4,11,2,0,True,0,,,,,,,
39.785424064835375,-98.78440994037985,39.785424064835375,-98.78440994037985,6123700,3,7,7,201834758003,7,2,672,2,2,2,2,86,0,0,0,0,0,True,0,,,,,,,
35.450257,-84.61932,35.450257,-84.61932,291500,3,6,6,471079702003,6,15,502,21,21,9,22,67,1,4,4,4,0,True,0,,,,,,,
47.489077,-122.121502,47.489077,-122.121502,2808700,3,7,1,530330319035,5,0,1633,14,63,0,10,317,0,3,11,3,0,True,0,,,,,,,
33.714856600548465,-118.00826455210634,33.714856600548465,-118.00826455210634,365400,3,4,1,60590994121,3,10,6752,72,152,3,36,875,1,8,19,3,0,True,0,,,,,,,
32.3274219417401,-90.19385373203686,32.3274219417401,-90.19385373203686,6415400,3,5,3,280490011001,4,7,494,39,81,7,45,53,0,3,4,3,0,True,0,,,,,,,
34.664942577794946,-106.77557262053736,34.664942577794946,-106.77557262053736,1305400,4,7,3,350619708004,6,6,825,10,10,6,10,102,0,0,0,0,0,True,0,,,,,,,
32.432438,-99.75631,32.432438,-99.75631,1027400,4,5,5,484410116004,4,10,189,52,82,7,37,26,0,5,10,3,0,True,0,,,,,,,
42.21192018340936,-85.89082652885676,42.21192018340936,-85.89082652885676,345600,4,7,4,261590118007,7,9,854,9,9,9,9,97,1,1,1,1,0,True,0,,,,,,,
41.44558440219876,-75.66897097813425,41.44558440219876,-75.66897097813425,3504000,4,5,3,420691012002,4,3,447,36,55,3,26,74,0,5,7,2,0,True,0,,,,,,,
32.66292498885075,-83.74033764181385,32.66292498885075,-83.74033764181385,1027200,4,7,4,132250401022,6,11,382,12,31,9,11,52,0,0,2,0,0,True,0,,,,,,,
34.638087368033354,-78.96987729392359,34.638087368033354,-78.96987729392359,5886800,4,6,5,371559613023,6,0,478,29,37,0,29,41,0,2,3,2,0,True,0,,,,,,,
41.42396503727834,-81.47842881514599,41.42396503727834,-81.47842881514599,6281300,4,6,2,390351841041,5,2,1793,26,70,0,40,282,0,5,11,5,0,True,0,,,,,,,
39.52275373888081,-79.33415945488514,39.52275373888081,-79.33415945488514,1597900,4,7,7,240230005001,7,0,1084,3,3,0,3,199,0,0,0,0,0,True,0,,,,,,,
30.373787002065043,-91.252810820325,30.373787002065043,-91.252810820325,2684000,4,7,3,221210204012,7,2,426,3,10,0,5,66,0,0,2,1,0,True,0,,,,,,,
34.960032076213984,-77.9625233452441,34.960032076213984,-77.9625233452441,1660800,4,7,7,370610904002,7,3,452,3,3,3,3,43,0,0,0,0,0,True,0,,,,,,,
32.87777370622288,-111.72982340657028,32.87777370622288,-111.72982340657028,490000,4,6,1,40210014062,5,20,2580,35,38,6,35,262,0,0,1,0,0,True,0,,,,,,,
42.46817100302532,-91.91448857144594,42.46817100302532,-91.91448857144594,1100500,4,7,7,190199504001,7,1,354,3,3,0,3,61,0,0,0,0,0,True,0,,,,,,,
39.01191962004278,-89.78830942237866,39.01191962004278,-89.78830942237866,1176300,4,7,1,171179572005,7,1,1466,2,2,1,3,194,0,0,0,0,0,True,0,,,,,,,
43.98098173476221,-84.4902132998751,43.98098173476221,-84.4902132998751,784400,4,7,7,260510007002,7,6,522,6,6,2,6,69,0,0,0,0,0,True,0,,,,,,,
41.137345321934255,-102.97675607188836,41.137345321934255,-102.97675607188836,1441600,4,7,7,310339549003,7,0,1860,8,8,0,8,232,0,1,1,1,0,True,0,,,,,,,
34.09365615423332,-84.01085432147005,34.09365615423332,-84.01085432147005,1224400,4,6,1,131350501064,5,17,3583,46,83,7,49,378,0,1,6,2,0,True,0,,,,,,,
29.988495276477096,-90.13053023435546,29.988495276477096,-90.13053023435546,268300,4,4,2,220510224002,3,4,729,60,147,0,19,134,1,15,32,5,0,True,0,,,,,,,
35.631171,-85.859102,35.631171,-85.859102,4574300,4,7,6,471779308001,7,0,1627,0,0,0,0,202,0,0,0,0,0,True,0,,,,,,,
33.086964,-96.771124,33.086964,-96.771124,6454900,4,5,1,480850316383,3,3,4433,65,168,1,41,378,0,6,18,4,0,True,0,,,,,,,
36.09949967939277,-115.2266554947164,36.09949967939277,-115.2266554947164,4329900,4,4,2,320030029584,3,9,1132,89,318,4,59,107,3,8,28,5,0,True,0,,,,,,,
40.752912909416864,-73.56456921454695,40.752912909416864,-73.56456921454695,2452800,4,4,1,360594076001,3,5,5316,79,141,0,40,535,0,8,16,3,0,True,0,,,,,,,
36.326298,-79.686762,36.326298,-79.686762,360400,4,7,3,371570415003,6,4,889,15,17,0,17,107,0,0,0,0,0,True,0,,,,,,,
45.1335388691118,-93.4775697611428,45.1335388691118,-93.4775697611428,4387100,4,6,1,270530267081,5,10,1701,22,46,2,24,312,1,2,5,2,0,True,0,,,,,,,
41.81529911571434,-87.66564059043175,41.81529911571434,-87.66564059043175,2221500,4,3,1,170316103001,2,12,4155,92,313,2,20,546,1,18,60,2,0,True,0,,,,,,,
34.49563993143535,-118.6215266093878,34.49563993143535,-118.6215266093878,220800,4,7,1,60379201021,5,7,6752,10,22,7,11,875,0,1,1,1,0,True,0,,,,,,,
32.795669,-97.347671,32.795669,-97.347671,2193800,5,5,1,484391002023,4,12,4433,30,133,11,17,378,0,4,13,0,0,True,0,,,,,,,
37.539706,-77.885593,37.539706,-77.885593,1656100,5,7,2,511455002002,7,2,692,2,4,2,2,70,0,0,0,0,0,True,0,,,,,,,
41.51494722849894,-71.69702670676466,41.51494722849894,-71.69702670676466,2087200,5,7,2,440090506001,7,3,614,3,4,2,4,86,0,0,0,0,0,True,0,,,,,,,
35.700575217949684,-80.88779102323353,35.700575217949684,-80.88779102323353,2539400,5,7,1,370970612023,7,2,1698,9,9,2,9,150,0,0,0,0,0,True,0,,,,,,,
41.910296925696215,-71.36283829263219,41.910296925696215,-71.36283829263219,3152200,5,5,2,250056311002,4,10,614,43,74,2,37,86,0,5,10,5,0,True,0,,,,,,,
40.82776283935307,-83.28977752166011,40.82776283935307,-83.28977752166011,660900,5,7,7,391759384001,7,1,502,10,10,0,7,77,0,0,0,0,0,True,0,,,,,,,
35.870900874299174,-84.67959851100248,35.870900874299174,-84.67959851100248,2048500,5,7,3,471450304003,7,2,815,6,7,1,7,93,0,0,0,0,0,True,0,,,,,,,
29.717617,-95.477708,29.717617,-95.477708,3080600,5,4,1,482014211022,3,21,3674,110,240,3,50,417,2,17,31,6,0,True,0,,,,,,,
42.319004149248016,-88.99369326041739,42.319004149248016,-88.99369326041739,1251500,5,6,4,172010038074,5,8,181,18,74,1,27,30,0,2,6,1,0,True,0,,,,,,,
38.87090327519069,-121.29594809000992,38.87090327519069,-121.29594809000992,4071100,5,6,2,60610235001,4,14,1719,19,27,7,19,251,0,2,3,2,0,True,0,,,,,,,
33.823189763391845,-84.23283639141388,33.823189763391845,-84.23283639141388,5928600,5,5,1,130890220092,4,0,3583,60,118,0,23,378,0,6,15,3,0,True,0,,,,,,,
42.49044356122591,-83.12911946358747,42.49044356122591,-83.12911946358747,36400,5,5,1,261251842005,3,7,2266,70,204,3,46,240,0,7,16,4,0,True,0,,,,,,,
39.035776,-80.448158,39.035776,-80.448158,3707700,5,7,7,540419674002,7,7,134,13,13,5,11,23,0,1,1,0,0,True,0,,,,,,,
41.3367422056316,-94.01374888450664,41.3367422056316,-94.01374888450664,1138000,5,7,3,191210602001,7,3,467,3,3,0,3,88,0,0,0,0,0,True,0,,,,,,,
35.15131609656536,-106.61745064602609,35.15131609656536,-106.61745064602609,5062100,5,5,3,350010037351,4,1,825,57,164,0,35,102,0,8,16,2,0,True,0,,,,,,,
43.54417339230325,-96.76266318531238,43.54417339230325,-96.76266318531238,1025700,5,5,4,460990009003,4,9,298,63,107,3,46,60,0,6,11,3,0,True,0,,,,,,,
41.57840752928756,-87.78416562550929,41.57840752928756,-87.78416562550929,592700,5,6,1,170318253034,4,1,4155,36,101,0,39,546,0,2,8,2,0,True,0,,,,,,,
60.940772169125445,-149.17159867736157,60.940772169125445,-149.17159867736157,5667600,5,7,4,20200029002,7,0,129,0,0,0,0,27,0,0,0,0,0,True,0,,,,,,,
37.96643860724536,-122.06116755384028,37.96643860724536,-122.06116755384028,2455100,5,5,1,60133270005,4,20,1814,53,86,4,40,279,0,9,12,5,0,True,0,,,,,,,
35.4274167675494,-119.02248869293577,35.4274167675494,-119.02248869293577,1370200,5,6,3,60290001015,5,8,357,22,89,4,20,40,0,1,10,2,0,True,0,,,,,,,
39.15973951484864,-76.68140677399319,39.15973951484864,-76.68140677399319,331100,5,6,1,240037514002,4,2,1087,45,110,2,20,155,0,5,16,1,0,True,0,,,,,,,
34.897067574111226,-79.70565966861132,34.897067574111226,-79.70565966861132,1920100,5,7,6,371539710002,7,3,1698,13,26,3,10,150,0,0,1,0,0,True,0,,,,,,,
37.61836846888496,-122.0362262087145,37.61836846888496,-122.0362262087145,2787000,5,5,1,60014381003,4,6,1814,39,83,5,29,279,0,5,12,3,0,True,0,,,,,,,
34.68911172746831,-118.14172100521958,34.68911172746831,-118.14172100521958,3288300,5,5,1,60379007012,4,8,6752,64,69,1,63,875,0,5,6,5,0,True,0,,,,,,,
40.70122855666775,-73.379840978641,40.70122855666775,-73.379840978641,1051200,5,5,1,361031234022,3,11,5316,39,85,3,26,535,1,6,14,4,0,True,0,,,,,,,
